"Distance quakes/tectonic_plates","Distance uniform_law/tectonic_plates"
47891.4900312129,1261960.69311077
9733.57366180836,1965998.78163982
50907.8700252073,809392.451099768
41599.2296362924,1371653.43283309
103760.297633687,1964053.15761691
94994.4117066167,1759252.24863637
270297.411280032,980722.069684996
18806.8094289141,631619.840421923
237117.96971818,1087905.17805251
434995.008201369,1370940.80673845
189419.233656517,1241526.53380974
31982.5217757948,959954.283083838
101613.805743229,2539456.35402459
136465.420872315,97437.114697677
29611.7100805172,119554.890520146
34706.8366750506,753425.387173951
52139.2677022895,116957.598888111
237298.227248232,960987.639422844
156595.993763779,2485773.51010508
40633.6532473984,493215.038394209
13313.0351103713,1808147.26562112
54036.2390524595,155734.936912763
195400.862324874,177638.334630059
41646.5122867894,2136730.02538515
50165.3793140056,991692.298839705
110667.872570951,880603.614112006
32510.1051245289,427763.509244618
64756.5691329771,664470.61006547
237057.595742273,1103022.30425763
46781.522001117,357427.80036544
103445.887181753,1636059.39768849
106627.29987044,350728.553834682
7809.20174797041,1284689.69024021
271024.163563435,1193869.34022323
33760.2215049274,834258.101464778
27885.5039369768,893922.684732431
120467.930544773,3423000.76914397
121605.098446929,353364.037563284
157168.214258201,515582.980084627
48500.801405581,87102.5165863033
261746.195046768,1839807.71399694
117480.545374774,22360.5441791773
351419.085007779,1200475.52581694
12106.521751488,1036099.81932056
23152.4416127118,1270936.33624702
46826.3578349116,564562.290297297
65132.8656601025,7768.06208948602
20092.9350518105,382682.31890988
105421.996599069,674551.339061653
167123.358072872,201076.193514558
23993.4478515419,1423440.57745127
13974.5124423419,1359736.26525699
9319.13503473233,1058272.48009955
41694.1862163656,1586401.81465558
66854.2084250257,970273.316518462
41204.384735742,539598.153002147
417202.724321371,1432579.78898264
46428.2062512238,3785318.94525157
259365.293867861,471223.681246878
74473.6570057497,1000081.36437048
102861.399282121,1127994.12125333
211884.965274564,93634.7861890998
303980.283256439,2884833.60533367
102070.026092727,831561.247884902
84994.9512911008,2131543.28253048
115825.139504707,1328093.48683634
14879.5566563137,178726.187051853
36046.7368642522,2341709.74736211
75561.5668444863,1843055.2596145
31620.9784001472,468026.05177357
117212.205054281,113724.238775313
34455.3963647093,213931.41411253
80008.1283849445,744530.809644542
166612.544002678,388720.83623785
67896.0614456364,1883826.50447469
530835.405228532,660616.161255626
156663.759868691,73491.0470285948
